freq (Hz),I_bias (mA),Lock-In Voltage (V),R Ave (mV),R Std Dev (mV),Phase Avg,Phase Std Dev
1000,0.65,5,0.63324,0.002775427894938,-102.72,0.600632999426438
1000,0.7,5,0.66934,0.001429335509949,-100.728,0.429965114863987
1000,0.75,5,0.71164,0.006331903347336,-99.6983333333333,0.29355862560427
1000,0.8,5,0.75236,0.00776485672759,-98.155,0.512357297205767
1000,0.85,5,0.7912,0.007271863585079,-96.6766666666667,0.515079281923345
1000,0.9,5,0.8308,0.003922371731491,-95.5866666666667,0.239220957833268
1000,0.95,5,0.8705,0.011984364814207,-94.7033333333333,0.396063967897443
1000,1,5,0.9133,0.005919037083851,-93.9,0.369161211396867
1000,-0.1,5,0.30276,0.000901665126308,-0.291666666666667,0.348104390473126
1000,-0.2,5,0.33646,0.001896839476603,-14.4433333333333,0.290356103202028
1000,-0.3,5,0.38426,0.003426806093143,-25.4383333333333,0.361021698332201
1000,-0.4,5,0.44438,0.003485254653537,-33.8333333333333,0.498825286715366
1000,-0.5,5,0.51552,0.001901841213141,-40.345,0.576706164350615
1000,-0.6,5,0.58508,0.002201590334281,-44.5916666666667,0.594084730208298
1000,-0.65,5,0.62362,0.003803550972447,-47.325,0.458290301010179
1000,-0.7,5,0.66036,0.006568713724924,-48.8166666666667,0.457369289159938
1000,-0.75,5,0.70088,0.005796291918115,-50.365,0.42819388132013
1000,-0.8,5,0.7361,0.007271519786124,-51.555,0.423355642456789
1000,-0.85,5,0.77242,0.008753970527709,-52.895,0.405203652500814
1000,-0.9,5,0.81326,0.007353094586635,-54.1583333333333,0.279529366376176
1000,-0.95,5,0.85148,0.010802175706773,-55.22,0.588761411778998
1000,-1,5,0.89662,0.00630927888114,-55.62,0.467546789102439
