freq (Hz),I_bias (mA),Lock-In Voltage (V),R Ave (mV),R Std Dev (mV),Phase Avg,Phase Std Dev
10000,-10,4.5,0.20384,0.00025099800796,-10.48,0.080932070281193
10000,-10,5,0.22616,0.000415932686862,-10.49,0.042426406871193
1000,10,5,0.28766,0.000550454357781,-157.611666666667,0.166332999331663
1000,20,5,0.2932,0.000406201920232,-151.741666666667,0.192700112437261
1000,30,5,0.30066,0.0003577708764,-146.158333333333,0.110264832713487
1000,40,5,0.31224,0.000618869937871,-141.096666666667,0.115758369027902
1000,50,5,0.32478,0.00022803508502,-136,0.086023252670426
1000,60,5,0.34058,0.000725947656515,-131.583333333333,0.075498344352708
1000,65,5,0.34824,0.000684105255059,-129.586666666667,0.106262254195299
1000,70,5,0.3591,0.001044030650891,-127.646666666667,0.183484785926972
1000,75,5,0.36722,0.00049193495505,-125.701666666667,0.064549722436789
1000,80,5,0.37678,0.000630079360081,-123.875,0.09639329160614
1000,85,5,0.38674,0.000531977443131,-122.201666666667,0.085
1000,90,5,0.3979,0.000674536878162,-120.605,0.078740078740118
1000,95,5,0.40746,0.00065038450166,-119.165,0.053150729063675
1000,100,5,0.41956,0.000673052746819,-117.71,0.10785793124909
1000,-10,5,0.28376,0.000288097205818,9.885,0.10295630140987
1000,-20,5,0.28856,0.000602494813256,3.9,0.068007352543677
1000,-30,5,0.29578,0.000576194411636,-1.83,0.062716292407423
1000,-40,5,0.3051,0.000479583152331,-7.20333333333333,0.06855654600401
1000,-50,5,0.31778,0.000729383301152,-12.1983333333333,0.089953691790091
1000,-60,5,0.33218,0.000630079360081,-16.8083333333333,0.088128693776016
1000,-65,5,0.34206,0.00085615419172,-19.0233333333333,0.151299922890486
1000,-70,5,0.34996,0.000403732584764,-21.065,0.069761498454854
1000,-75,5,0.35984,0.000680441033448,-23.0616666666667,0.133010024684858
1000,-80,5,0.36822,0.000363318042492,-24.8316666666667,0.154353490404332
1000,-85,5,0.37886,0.000466904701197,-26.58,0.137598449603669
1000,-90,5,0.38854,0.000502991053598,-28.205,0.073936910042729
1000,-95,5,0.39954,0.000336154726279,-29.815,0.088128693776016
1000,-100,5,0.40952,0.000486826457786,-31.2183333333333,0.096609178307929
